FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
515,17,T, 84W, 81W, 78W
516,2,L,174W,171W,168W
517,43,K, 72E, 75E, 78E
518,20,Q, 66W, 63W, 60W
519,44,K, 78E, 81E, 84E
520,18,T, 78W, 75W, 72W
521,3,L,168W,165W,162W
522,45,K, 84E, 87E, 90E
523,19,T, 72W, 69W, 66W
524,4,L,162W,159W,156W
525,46,K, 90E, 93E, 96E
526,21,Q, 60W, 57W, 54W
527,20,T, 66W, 63W, 60W
528,5,L,156W,153W,150W
529,22,Q, 54W, 51W, 48W
530,47,K, 96E, 99E,102E
531,21,T, 60W, 57W, 54W
532,6,L,150W,147W,144W
533,23,Q, 48W, 45W, 42W
534,48,K,102E,105E,108E
535,49,K,108E,111E,114E
536,22,T, 54W, 51W, 48W
537,7,L,144W,141W,138W
538,24,Q, 42W, 39W, 36W
539,50,K,114E,117E,120E
540,2,G,174W,171W,168W
541,8,L,138W,135W,132W
542,51,K,120E,123E,126E
543,23,T, 48W, 45W, 42W
544,3,G,168W,165W,162W
545,9,L,132W,129W,126W
546,25,Q, 36W, 33W, 30W
547,52,K,126E,129E,132E
548,10,L,126W,123W,120W
549,24,T, 42W, 39W, 36W
550,26,Q, 30W, 27W, 24W
551,4,G,162W,159W,156W
552,53,K,132E,135E,138E
553,11,L,120W,117W,114W
554,25,T, 36W, 33W, 30W
555,12,L,114W,111W,108W
556,54,K,138E,141E,144E
557,26,T, 30W, 27W, 24W
558,5,G,156W,153W,150W
559,27,Q, 24W, 21W, 18W
560,27,T, 24W, 21W, 18W
561,13,L,108W,105W,102W
562,55,K,144E,147E,150E
563,6,G,150W,147W,144W
564,28,Q, 18W, 15W, 12W
565,29,Q, 12W,  9W,  6W
566,28,T, 18W, 15W, 12W
567,14,L,102W, 99W, 96W
568,7,G,144W,141W,138W
569,56,K,150E,153E,156E
570,15,L, 96W, 93W, 90W
571,30,Q,  6W,  3W,0E/W
572,29,T, 12W,  9W,  6W
573,57,K,156E,159E,162E
574,16,L, 90W, 87W, 84W
575,30,T,  6W,  3W,0E/W
576,8,G,138W,135W,132W
577,31,Q,0E/W,  3E,  6E
578,17,L, 84W, 81W, 78W
579,31,T,0E/W,  3E,  6E
580,58,K,162E,165E,168E
581,9,G,132W,129W,126W
582,10,G,126W,123W,120W
583,59,K,168E,171E,174E
584,32,T,  6E,  9E, 12E
585,18,L, 78W, 75W, 72W
586,32,Q,  6E,  9E, 12E
587,60,K,174E,177E,180E
588,11,G,120W,117W,114W
589,33,Q, 12E, 15E, 18E
590,19,L, 72W, 69W, 66W
591,33,T, 12E, 15E, 18E
592,34,Q, 18E, 21E, 24E
593,1,J,180W,177W,174W
594,12,G,114W,111W,108W
595,20,L, 66W, 63W, 60W
596,34,T, 18E, 21E, 24E
597,35,Q, 24E, 27E, 30E
598,2,J,174W,171W,168W
599,13,G,108W,105W,102W
600,36,Q, 30E, 33E, 36E
601,21,L, 60W, 57W, 54W
602,35,T, 24E, 27E, 30E
603,36,T, 30E, 33E, 36E
604,14,G,102W, 99W, 96W
605,37,Q, 36E, 39E, 42E
606,3,J,168W,165W,162W
607,22,L, 54W, 51W, 48W
608,37,T, 36E, 39E, 42E
609,4,J,162W,159W,156W
610,15,G, 96W, 93W, 90W
611,38,Q, 42E, 45E, 48E
612,38,T, 42E, 45E, 48E
613,39,Q, 48E, 51E, 54E
614,5,J,156W,153W,150W
615,16,G, 90W, 87W, 84W
616,39,T, 48E, 51E, 54E
617,23,L, 48W, 45W, 42W
618,40,Q, 54E, 57E, 60E
619,24,L, 42W, 39W, 36W
620,40,T, 54E, 57E, 60E
621,17,G, 84W, 81W, 78W
622,6,J,150W,147W,144W
623,41,Q, 60E, 63E, 66E
624,25,L, 36W, 33W, 30W
625,41,T, 60E, 63E, 66E
626,7,J,144W,141W,138W
627,18,G, 78W, 75W, 72W
628,42,Q, 66E, 69E, 72E
629,26,L, 30W, 27W, 24W
630,8,J,138W,135W,132W
631,19,G, 72W, 69W, 66W
632,27,L, 24W, 21W, 18W
633,43,Q, 72E, 75E, 78E
634,42,T, 66E, 69E, 72E
635,9,J,132W,129W,126W
636,20,G, 66W, 63W, 60W
637,28,L, 18W, 15W, 12W
638,44,Q, 78E, 81E, 84E
639,43,T, 72E, 75E, 78E
640,21,G, 60W, 57W, 54W
641,10,J,126W,123W,120W
642,29,L, 12W,  9W,  6W
643,45,Q, 84E, 87E, 90E
644,44,T, 78E, 81E, 84E
645,11,J,120W,117W,114W
646,22,G, 54W, 51W, 48W
647,46,Q, 90E, 93E, 96E
648,45,T, 84E, 87E, 90E
649,12,J,114W,111W,108W
650,47,Q, 96E, 99E,102E
651,46,T, 90E, 93E, 96E
652,13,J,108W,105W,102W
653,23,G, 48W, 45W, 42W
654,48,Q,102E,105E,108E
655,30,L,  6W,  3W,0E/W
656,24,G, 42W, 39W, 36W
657,14,J,102W, 99W, 96W
658,47,T, 96E, 99E,102E
659,49,Q,108E,111E,114E
660,31,L,0E/W,  3E,  6E
661,25,G, 36W, 33W, 30W
662,50,Q,114E,117E,120E
663,32,L,  6E,  9E, 12E
664,15,J, 96W, 93W, 90W
665,48,T,102E,105E,108E
666,26,G, 30W, 27W, 24W
667,51,Q,120E,123E,126E
668,33,L, 12E, 15E, 18E
669,27,G, 24W, 21W, 18W
670,16,J, 90W, 87W, 84W
671,49,T,108E,111E,114E
672,52,Q,126E,129E,132E
673,34,L, 18E, 21E, 24E
674,53,Q,132E,135E,138E
675,17,J, 84W, 81W, 78W
676,50,T,114E,117E,120E
677,28,G, 18W, 15W, 12W
678,54,Q,138E,141E,144E
